query_id,query_family,query,method,expected_file,expected_keywords,retrieved_files,retrieval_hit,keyword_match_score,answer,latency_seconds,tool_calls,error,task_success,groundedness,answer_relevance,multimodal_reasoning,average_quality_score,judge_reason
Q1,Factual Retrieval,Can you explain what organisers are actually able to do in EventNow?,Direct LLM,eventnow.pdf,"organisers,sessions,participants,registrations,event management",,0,0.0,"Unfortunately, the provided knowledge base does not contain enough information.",6.52,0,,1.0,1.0,1.0,1.0,1.0,The answer accurately reflects the lack of relevant information in the provided knowledge base and avoids making unsupported claims.
Q1,Factual Retrieval,Can you explain what organisers are actually able to do in EventNow?,Text RAG,eventnow.pdf,"organisers,sessions,participants,registrations,event management",organiser_profile.png; eventnow.pdf; eventnow.pdf,1,0.0,"The best matching image is ""organiser_profile.png"". This image shows the EventNow organiser profile page with account information, password change section, and events created or managed by the organiser.",0.79,1,,2.0,3.0,2.0,1.0,2.0,"The answer is partially relevant as it provides an image, but lacks direct textual information about what organisers can do in EventNow. The retrieval hit and keyword match score are low, indicating poor support from the text."
Q1,Factual Retrieval,Can you explain what organisers are actually able to do in EventNow?,Hybrid RAG,eventnow.pdf,"organisers,sessions,participants,registrations,event management",eventnow.pdf; eventnow.pdf; organiser_profile.png,1,0.0,I'm ready to assist. What's your question?,5.87,2,,1.0,1.0,1.0,1.0,1.0,"The system acknowledges the user's query but does not provide an answer, which is appropriate given that no relevant information was retrieved from the files. The response avoids unsupported claims and aligns with the lack of useful content in the provided files."
Q1,Factual Retrieval,Can you explain what organisers are actually able to do in EventNow?,Agentic RAG,eventnow.pdf,"organisers,sessions,participants,registrations,event management",eventnow.pdf; eventnow.pdf; eventnow.pdf; eventnow.pdf,1,0.2,"According to Chunk 1 of the eventnow.pdf document, organisers in EventNow are able to:

- Add details of events such as title, description, where, on the fly and when the event is to, when it will be held etc.
- Manage session time, location, area, and capacity
- Update session info at any opportunity

These actions allow organisers to control their own operation.",7.31,14,,3.0,2.0,4.0,1.0,2.5,"The answer is partially correct and relevant, but it lacks direct support from the retrieved files. The retrieval hit score of 0.2 indicates low relevance to the query."
Q2,Factual Retrieval,What kinds of AI or cloud technologies are used in the smart event management system paper?,Direct LLM,AI POWERED EVENT MANAGEMENT PLATFORM.pdf,"AI,cloud,serverless,QR code,RBAC,Stripe",,0,0.33,"Unfortunately, the provided knowledge base does not contain enough information to answer your question about the AI or cloud technologies used in the smart event management system paper.",1.93,0,,1.0,1.0,1.0,1.0,1.0,The answer accurately reflects the lack of relevant information in the provided knowledge base and avoids making unsupported claims.
Q2,Factual Retrieval,What kinds of AI or cloud technologies are used in the smart event management system paper?,Text RAG,AI POWERED EVENT MANAGEMENT PLATFORM.pdf,"AI,cloud,serverless,QR code,RBAC,Stripe",AI POWERED EVENT MANAGEMENT PLATFORM.pdf; AI POWERED EVENT MANAGEMENT PLATFORM.pdf; AI POWERED EVENT MANAGEMENT PLATFORM.pdf,1,0.5,"The smart event management system paper uses serverless technology and cloud-based platforms for scalability and reliability, as well as Single Sign-On (SSO) for user authentication. Additionally, it features WhatsApp and email notifications to keep users informed.",8.71,1,,2.0,2.0,3.0,1.0,2.0,"The answer does not directly reference the provided keywords and lacks direct support from the retrieved files. It also introduces new information (SSO, WhatsApp, email notifications) that is not mentioned in the expected evidence."
Q2,Factual Retrieval,What kinds of AI or cloud technologies are used in the smart event management system paper?,Hybrid RAG,AI POWERED EVENT MANAGEMENT PLATFORM.pdf,"AI,cloud,serverless,QR code,RBAC,Stripe",Transforming_Event_Management_A_Cloud_Computing_Fr.pdf; Transforming_Event_Management_A_Cloud_Computing_Fr.pdf,0,0.33,"The smart event management system paper uses AI, ML, and cloud-based solutions.",6.19,2,,2.0,1.0,3.0,1.0,1.75,"The answer is partially correct but lacks specific details from the expected evidence. It does not mention cloud-based solutions or any of the expected keywords, and there were no retrieved files to support the claim."
Q2,Factual Retrieval,What kinds of AI or cloud technologies are used in the smart event management system paper?,Agentic RAG,AI POWERED EVENT MANAGEMENT PLATFORM.pdf,"AI,cloud,serverless,QR code,RBAC,Stripe",Transforming_Event_Management_A_Cloud_Computing_Fr.pdf; Transforming_Event_Management_A_Cloud_Computing_Fr.pdf; Transforming_Event_Management_A_Cloud_Computing_Fr.pdf; Transforming_Event_Management_A_Cloud_Computing_Fr.pdf,0,0.33,"The paper discusses the application of Artificial Intelligence (AI), Machine Learning (ML), and Cloud computing in a smart event management system.",6.61,14,,2.0,1.0,1.0,1.0,1.25,"The answer is relevant and mentions key technologies, but it lacks direct support from the retrieved files. The retrieval hit score of 0 indicates no useful content was found in the expected file."
Q3,Factual Retrieval,What does the RAG Triad actually evaluate in a RAG system?,Direct LLM,Lecture10_Agents.pdf,"answer relevance,context relevance,groundedness,faithfulness",,0,0.0,"The RAG Triad evaluates the following aspects of a RAG system:

1. Relevance
2. Accuracy
3. Generalizability",1.87,0,,2.0,1.0,1.0,1.0,1.25,"The answer is relevant and provides a brief overview of the RAG Triad, but it lacks support from the expected evidence and does not directly reference the keywords provided."
Q3,Factual Retrieval,What does the RAG Triad actually evaluate in a RAG system?,Text RAG,Lecture10_Agents.pdf,"answer relevance,context relevance,groundedness,faithfulness",Lecture10_Agents.pdf; Lecture10_Agents.pdf; Lecture10_Agents.pdf,1,0.0,I'm ready to assist you. What's your question?,5.67,1,,1.0,1.0,1.0,1.0,1.0,"The response acknowledges the user's query and indicates readiness to assist, though it does not directly answer the question. Given that the system method is Text RAG and there are no retrieved files or evidence to support an answer, this is the most appropriate response."
